Location,Spp,FG,d13C,d15N
patagonia,condor,condor,-24.96,9.47
patagonia,condor,condor,-24.53,9.32
patagonia,condor,condor,-25.05,9.91
patagonia,condor,condor,-25.08,8.93
patagonia,condor,condor,-24.56,10.43
patagonia,condor,condor,-24.42,9.95
patagonia,condor,condor,-24.25,10.01
patagonia,condor,condor,-24.74,10.21
patagonia,condor,condor,-24.39,9.93
patagonia,condor,condor,-25.03,9.89
patagonia,condor,condor,-24.67,10.14
patagonia,condor,condor,-25.51,10.52
patagonia,condor,condor,-24.85,10.3
patagonia,condor,condor,-25.21,9.84
patagonia,condor,condor,-24.73,9.97
patagonia,condor,condor,-23.39,8.87
patagonia,condor,condor,-24.6,9.32
patagonia,condor,condor,-24.45,9.52
patagonia,condor,condor,-21.98,8.81
patagonia,condor,condor,-24.88,10.11
patagonia,condor,condor,-24.77,10.68
patagonia,condor,condor,-24.93,9.98
patagonia,condor,condor,-24.93,10.45
patagonia,condor,condor,-24.64,10.16
patagonia,condor,condor,-24.83,10.01
patagonia,condor,condor,-24.68,9.79
patagonia,condor,condor,-24.69,9.28
patagonia,condor,condor,-24.5,9.08
patagonia,condor,condor,-24.51,8.31
patagonia,condor,condor,-25.02,9.93
patagonia,condor,condor,-25.09,10.16
patagonia,condor,condor,-24.1,9.76
patagonia,condor,condor,-24.58,9.4
patagonia,condor,condor,-24.84,10.54
patagonia,condor,condor,-24.04,10.13
patagonia,condor,condor,-24.71,9.96
patagonia,condor,condor,-24.79,10.46
patagonia,condor,condor,-24.54,10.6
patagonia,condor,condor,-24.47,10.61
patagonia,condor,condor,-25.03,10.13
patagonia,condor,condor,-24.46,9.08
patagonia,condor,condor,-24.06,9.23
patagonia,condor,condor,-24.54,9.01
patagonia,condor,condor,-22.03,10.08
patagonia,condor,condor,-25.35,9.34
patagonia,condor,condor,-24.95,7.56
patagonia,condor,condor,-23.88,10.21
patagonia,condor,condor,-23.41,10.36
patagonia,condor,condor,-23.51,10.19
patagonia,condor,condor,-24.03,9.86
patagonia,condor,condor,-22.98,10.11
patagonia,condor,condor,-23.53,10.67
patagonia,condor,condor,-23.42,10.2
patagonia,Cervus elaphus,terrestrial,-25.471,5.442
patagonia,Cervus elaphus,terrestrial,-25.833,2.446
patagonia,Cervus elaphus,terrestrial,-24.876,2.332
patagonia,Cervus elaphus,terrestrial,-25.587,3.803
patagonia,Cervus elaphus,terrestrial,-26.129,5.795
patagonia,Cervus elaphus,terrestrial,-26.941,4.956
patagonia,Lama guanicoe,terrestrial,-23.907,6.454
patagonia,Lama guanicoe,terrestrial,-25.729,4.715
patagonia,Lama guanicoe,terrestrial,-25.41,4.929
patagonia,Lama guanicoe,terrestrial,-24.914,5.285
patagonia,Lama guanicoe,terrestrial,-25.407,5.345
patagonia,Bos taurus,terrestrial,-25.918,4.844
patagonia,Bos taurus,terrestrial,-25.954,5.021
patagonia,Bos taurus,terrestrial,-26.34,6.433
patagonia,Bos taurus,terrestrial,-27.125,4.542
patagonia,Bos taurus,terrestrial,-27.662,6.844
patagonia,Bos taurus,terrestrial,-25.761,2.866
patagonia,Bos taurus,terrestrial,-25.681,0.249
patagonia,Bos taurus,terrestrial,-25.471,4.667
patagonia,Lepus europaeus,terrestrial,-27.18,2.18
patagonia,Lepus europaeus,terrestrial,-26.81,2.69
patagonia,Lepus europaeus,terrestrial,-26.69,2.68
patagonia,Lepus europaeus,terrestrial,-26.46,2.84
patagonia,Lepus europaeus,terrestrial,-27.46,2.46
patagonia,Lepus europaeus,terrestrial,-26.34,3.23
patagonia,Lepus europaeus,terrestrial,-28.22,4.56
patagonia,Lepus europaeus,terrestrial,-26.08,3.3
patagonia,Lepus europaeus,terrestrial,-25.92,2
patagonia,Lepus europaeus,terrestrial,-27.54,4.41
patagonia,Lepus europaeus,terrestrial,-26.87,4.69
patagonia,Lepus europaeus,terrestrial,-26.88,3.76
patagonia,Lepus europaeus,terrestrial,-26.36,3.56
patagonia,Lepus europaeus,terrestrial,-27.03,0.98
patagonia,Lepus europaeus,terrestrial,-24.65,2.62
patagonia,Lepus europaeus,terrestrial,-27.01,3.34
patagonia,Lepus europaeus,terrestrial,-26.46,4.22
patagonia,Ovis aries,terrestrial,-25.8,6.38
patagonia,Ovis aries,terrestrial,-26.51,5.78
patagonia,Ovis aries,terrestrial,-26.28,5.07
patagonia,Ovis aries,terrestrial,-26.27,4.52
patagonia,Ovis aries,terrestrial,-26.35,6.51
patagonia,Equus ferus,terrestrial,-25.36,3.85
patagonia,Equus ferus,terrestrial,-25.49,4.58
patagonia,Equus ferus,terrestrial,-26.31,3.23
patagonia,Equus ferus,terrestrial,-25.72,3.92
patagonia,Cervus elaphus,terrestrial,-25.34,4.97
patagonia,Cervus elaphus,terrestrial,-26.49,4.47
patagonia,Cervus elaphus,terrestrial,-27.91,3.01
patagonia,Cervus elaphus,terrestrial,-26.78,4.26
patagonia,Cervus elaphus,terrestrial,-25.92,6.79
patagonia,Lama guanicoe,terrestrial,-25.03,5.7
patagonia,Lama guanicoe,terrestrial,-27.06,6.53
patagonia,Mytilus sp,marine,-18.71784956,10.82683094
patagonia,Mytilus sp,marine,-18.67693879,9.335130743
patagonia,Mytilus sp,marine,-17.46389592,10.2955766
patagonia,Mytilus sp,marine,-16.35249988,10.30438962
patagonia,Mytilus sp,marine,-18.41945296,9.93787566
patagonia,Mytilus sp,marine,-15.84941599,10.13717473
patagonia,Mytilus sp,marine,-18.01925717,9.681352044
patagonia,Mytilus sp,marine,-18.30883895,10.40237033
patagonia,Mytilus sp,marine,-17.21839258,11.64640592
patagonia,Mytilus sp,marine,-17.8040791,11.50987179
patagonia,Mytilus sp,marine,-16.05548046,9.663660622
patagonia,Mytilus sp,marine,-17.91124002,9.409723137
patagonia,Mytilus sp,marine,-20.38734071,10.57765596
patagonia,Mytilus sp,marine,-18.60647698,10.96099739
patagonia,Mytilus sp,marine,-18.14086149,11.17822626
patagonia,Mytilus sp,marine,-15.92396141,10.63291469
patagonia,Mytilus sp,marine,-17.76174623,11.34507351
patagonia,Mytilus sp,marine,-17.7967626,11.01229574
patagonia,Mytilus sp,marine,-18.85225598,11.54624101
patagonia,Mytilus sp,marine,-18.38269732,11.06279439
patagonia,Mytilus sp,marine,-16.78922646,9.401344806
patagonia,Mytilus sp,marine,-18.51460851,8.738464451
patagonia,Mytilus sp,marine,-18.62808055,9.655215833
patagonia,Mytilus sp,marine,-17.45019664,9.899405686
patagonia,Mytilus sp,marine,-19.41360154,10.27016426
patagonia,Mytilus sp,marine,-18.92414448,11.28066804
patagonia,Mytilus sp,marine,-16.22472448,10.69636224
patagonia,Mytilus sp,marine,-17.26850201,11.18664653
patagonia,Mytilus sp,marine,-18.55638993,10.20617074
patagonia,Mytilus sp,marine,-17.43527358,11.24480958
patagonia,Mytilus sp,marine,-18.42902199,10.0551563
patagonia,Mytilus sp,marine,-17.90108396,11.53924567
patagonia,Mytilus sp,marine,-18.16045244,9.451116666
patagonia,Mytilus sp,marine,-18.53545756,10.13880287
patagonia,Mytilus sp,marine,-17.79916179,10.59359903
patagonia,Mytilus sp,marine,-18.44707266,9.853534614
patagonia,Mytilus sp,marine,-20.06101069,10.955637
patagonia,Mytilus sp,marine,-18.45347172,11.28126452
patagonia,Mytilus sp,marine,-17.64030489,8.932625209
patagonia,Mytilus sp,marine,-18.00060782,10.24047545
patagonia,Mytilus sp,marine,-18.9027404,10.74770918
patagonia,Mytilus sp,marine,-19.87844671,11.24907453
patagonia,Mytilus sp,marine,-18.25553814,10.5478997
patagonia,Mytilus sp,marine,-18.1408391,11.51508564
patagonia,Mytilus sp,marine,-17.51263812,10.78352764
patagonia,Mytilus sp,marine,-17.21559364,10.51433037
patagonia,Mytilus sp,marine,-17.62017369,10.10829128
patagonia,Mytilus sp,marine,-17.97443749,10.37110644
patagonia,Mytilus sp,marine,-16.92711353,11.63013923
patagonia,Mytilus sp,marine,-18.4435777,9.031063611
patagonia,Mytilus sp,marine,-17.89348698,9.820331081
patagonia,Mytilus sp,marine,-17.91635563,10.46037531
patagonia,Mytilus sp,marine,-18.86753567,11.23482815
patagonia,Mytilus sp,marine,-17.496354,10.02308501
patagonia,Mytilus sp,marine,-17.49785261,11.22272287
patagonia,Mytilus sp,marine,-17.4874955,11.48961633
patagonia,Mytilus sp,marine,-18.13880549,10.25120047
patagonia,Mytilus sp,marine,-17.82030915,9.877920682
patagonia,Mytilus sp,marine,-17.85909369,9.642637143
patagonia,Mytilus sp,marine,-18.09294391,10.27375005
patagonia,Mytilus sp,marine,-20.71393978,10.60721681
patagonia,Mytilus sp,marine,-18.05277662,9.912512091
patagonia,Mytilus sp,marine,-18.53145214,9.499367407
patagonia,Mytilus sp,marine,-18.09119902,8.481114869
patagonia,Mytilus sp,marine,-18.15617969,8.547666816
patagonia,Mytilus sp,marine,-17.99469983,11.08505166
patagonia,Mytilus sp,marine,-17.99521618,9.317815189
patagonia,Mytilus sp,marine,-18.87054236,10.8558749
patagonia,Mytilus sp,marine,-16.69094513,10.03689837
patagonia,Mytilus sp,marine,-18.75440812,11.68312829
patagonia,Mytilus sp,marine,-16.65082448,10.88896027
patagonia,Mytilus sp,marine,-16.69774971,10.12886405
patagonia,Mytilus sp,marine,-16.85037386,11.39041418
patagonia,Mytilus sp,marine,-17.73903956,10.65884089
patagonia,Mytilus sp,marine,-18.930184,11.43854459
patagonia,Mytilus sp,marine,-16.22024321,10.34975303
patagonia,Mytilus sp,marine,-17.14525396,9.390384689
patagonia,Mytilus sp,marine,-19.38202126,10.9132356
patagonia,Mytilus sp,marine,-18.54533352,10.92568779
patagonia,Mytilus sp,marine,-18.03907132,10.54383938
patagonia,Mytilus sp,marine,-17.77750822,10.68059306
patagonia,Mytilus sp,marine,-17.64688357,10.9193355
patagonia,Mytilus sp,marine,-17.43731483,9.868608354
patagonia,Mytilus sp,marine,-18.1079533,10.58580302
patagonia,Mytilus sp,marine,-17.71184118,10.28794749
patagonia,Mytilus sp,marine,-16.86958399,10.63429977
patagonia,Mytilus sp,marine,-18.35811514,10.83359495
patagonia,Mytilus sp,marine,-19.05562152,11.18903785
patagonia,Mytilus sp,marine,-17.16903586,10.00673259
patagonia,Mytilus sp,marine,-18.58486775,8.706998881
patagonia,Mytilus sp,marine,-18.65983697,10.17196372
patagonia,Mytilus sp,marine,-17.03397776,9.565735721
patagonia,Mytilus sp,marine,-17.23201265,11.12027969
patagonia,Mytilus sp,marine,-18.88010662,11.28059189
patagonia,Mytilus sp,marine,-19.27361154,10.69914383
patagonia,Mytilus sp,marine,-18.81367746,10.98694354
patagonia,Mytilus sp,marine,-18.6526541,11.0719951
patagonia,Mytilus sp,marine,-19.1160682,10.36795456
patagonia,Mytilus sp,marine,-19.43492719,10.34123515
patagonia,Mytilus sp,marine,-17.6623981,10.54108586
patagonia,Mytilus sp,marine,-18.52226089,9.573759197
patagonia,Mytilus sp,marine,-16.96363828,9.895568059
patagonia,Mytilus sp,marine,-18.28435356,11.01027624
patagonia,Mytilus sp,marine,-19.52201909,10.54923826
patagonia,Mytilus sp,marine,-16.63697607,9.278855633
patagonia,Mytilus sp,marine,-16.93177075,9.927715129
patagonia,Mytilus sp,marine,-18.71473733,10.09808749
patagonia,Mytilus sp,marine,-19.28632845,12.03588791
patagonia,Mytilus sp,marine,-18.70129175,10.42754182
patagonia,Mytilus sp,marine,-17.80484991,11.07163139
patagonia,Mytilus sp,marine,-18.18092265,10.21496067
patagonia,Mytilus sp,marine,-19.74542706,11.26103368
patagonia,Mytilus sp,marine,-16.95972876,10.21774455
patagonia,Mytilus sp,marine,-18.45995097,9.553498833
patagonia,Mytilus sp,marine,-18.22698612,10.99179637
patagonia,Mytilus sp,marine,-18.4328581,11.45315572
patagonia,Mytilus sp,marine,-19.84778438,9.475961757
patagonia,Mytilus sp,marine,-18.75090113,10.26482843
patagonia,Mytilus sp,marine,-17.26028038,9.859561578
patagonia,Mytilus sp,marine,-19.51012062,10.59559299
patagonia,Mytilus sp,marine,-18.06422993,9.110517595
patagonia,Mytilus sp,marine,-17.97021958,9.994144122
patagonia,Mytilus sp,marine,-16.37642075,10.231129
patagonia,Mytilus sp,marine,-16.07735952,9.462131011
patagonia,Mytilus sp,marine,-18.21139736,10.94792779
patagonia,Mytilus sp,marine,-17.80413692,9.717000974
patagonia,Mytilus sp,marine,-18.74538429,9.984572415
patagonia,Mytilus sp,marine,-18.23654819,11.18777914
patagonia,Mytilus sp,marine,-18.93908966,10.13513558
patagonia,Mytilus sp,marine,-16.41390935,10.52014235
patagonia,Mytilus sp,marine,-17.07294429,9.656744554
patagonia,Mytilus sp,marine,-17.06238547,10.19134925
patagonia,Mytilus sp,marine,-17.90059373,10.56786904
patagonia,Mytilus sp,marine,-20.09428183,9.337056059
patagonia,Mytilus sp,marine,-16.81505,9.925359085
patagonia,Mytilus sp,marine,-17.33992802,10.00151766
patagonia,Mytilus sp,marine,-16.99663596,9.779697912
patagonia,Mytilus sp,marine,-18.11652457,10.09845813
patagonia,Mytilus sp,marine,-19.29842326,9.99961484
patagonia,Mytilus sp,marine,-20.377,11.02
patagonia,Mytilus sp,marine,-19.95033333,11.19133333
patagonia,Mytilus sp,marine,-20.86333333,11.47366667
patagonia,Mytilus sp,marine,-20.28666667,10.99133333
patagonia,Mytilus sp,marine,-20.76866667,11.02
patagonia,Mytilus sp,marine,-19.563,11.84266667
patagonia,Mytilus sp,marine,-18.8285,12.1655
patagonia,Mytilus sp,marine,-19.17466667,12.16266667
patagonia,Mytilus sp,marine,-18.89766667,12.20766667
patagonia,Mytilus sp,marine,-19.863,11.50233333
patagonia,Mytilus sp,marine,-18.911,11.57866667
patagonia,Mytilus sp,marine,-18.52,11.54533333
patagonia,Mytilus sp,marine,-18.836,11.096
patagonia,Mytilus sp,marine,-19.94766667,11.59166667
patagonia,Mytilus sp,marine,-18.844,11.44566667
patagonia,Mytilus sp,marine,-20.94466667,12.64766667
patagonia,Mytilus sp,marine,-21.05666667,12.412
patagonia,Mytilus sp,marine,-19.79233333,11.75033333
patagonia,Mytilus sp,marine,-20.858,12.75033333
patagonia,Mytilus sp,marine,-20.94366667,12.92833333
